Date,product,category,retailer_id,temperature_f,humidity_pct,weather_condition,holiday,discount_pct,unit_price,sales_volume,stock_quantity,reorder_level,reorder_quantity
1/1/2025,Cocoa & Hot chocolate,Hot Beverages,R005,44.4,83.8,Sunny,New Year's Day,0,9.15,67,190,50,150
1/1/2025,Coffee,Hot Beverages,R001,44.4,83.8,Sunny,New Year's Day,0,9.85,66,146,50,150
1/1/2025,Tea,Hot Beverages,R003,44.4,83.8,Sunny,New Year's Day,0,11.64,73,267,50,150
1/1/2025,Coconut water,Cold Beverages,R005,44.4,83.8,Sunny,New Year's Day,0,1.84,79,246,80,240
1/1/2025,Juice and smoothies,Cold Beverages,R004,44.4,83.8,Sunny,New Year's Day,0,3.11,80,234,80,240
1/1/2025,Soft drinks,Cold Beverages,R004,44.4,83.8,Sunny,New Year's Day,0,3.72,82,189,80,240
1/1/2025,Sports drinks,Cold Beverages,R005,44.4,83.8,Sunny,New Year's Day,0,2.69,81,171,80,240
1/1/2025,Water,Hydration,R004,44.4,83.8,Sunny,New Year's Day,0,1.54,73,406,100,300
1/1/2025,Sparkling water,Hydration,R002,44.4,83.8,Sunny,New Year's Day,0,1.73,86,158,100,300
1/1/2025,"Breakfast, syrup and cereal",Pantry,R004,44.4,83.8,Sunny,New Year's Day,0,5.05,71,345,60,180
1/1/2025,Condiments and spice,Pantry,R001,44.4,83.8,Sunny,New Year's Day,0,3.34,67,149,60,180
1/1/2025,"Grains, pasta",Pantry,R004,44.4,83.8,Sunny,New Year's Day,0,3.87,64,151,60,180
1/1/2025,Soups,Canned Goods,R005,44.4,83.8,Sunny,New Year's Day,0,2.71,56,191,70,210
1/1/2025,Vegetables,Canned Goods,R005,44.4,83.8,Sunny,New Year's Day,0,1.57,56,255,70,210
1/1/2025,Fruits,Canned Goods,R001,44.4,83.8,Sunny,New Year's Day,0,2.63,71,248,70,210
1/1/2025,Bagels and Muffins,Bread and Bakery,R003,44.4,83.8,Sunny,New Year's Day,0,3.46,83,375,40,120
1/1/2025,Sandwich breads,Bread and Bakery,R003,44.4,83.8,Sunny,New Year's Day,0,5.88,72,141,40,120
1/1/2025,Pitas and flatbreads,Bread and Bakery,R003,44.4,83.8,Sunny,New Year's Day,0,3.52,79,408,40,120
1/1/2025,Cookies and bakery snacks,Bread and Bakery,R005,44.4,83.8,Sunny,New Year's Day,0,3.48,75,226,40,120
1/1/2025,Baguettes and french breads,Bread and Bakery,R003,44.4,83.8,Sunny,New Year's Day,0,3.95,81,398,40,120
1/1/2025,Butter,"Dairy, eggs and cheese",R002,44.4,83.8,Sunny,New Year's Day,0,7.85,93,321,50,150
1/1/2025,Cheese - american,"Dairy, eggs and cheese",R005,44.4,83.8,Sunny,New Year's Day,0,5.62,97,215,50,150
1/1/2025,Cheese - cheddar,"Dairy, eggs and cheese",R001,44.4,83.8,Sunny,New Year's Day,0,7.83,83,346,50,150
1/1/2025,Cheese - mozerella,"Dairy, eggs and cheese",R001,44.4,83.8,Sunny,New Year's Day,0,6.36,90,252,50,150
1/1/2025,Milk and cream,"Dairy, eggs and cheese",R003,44.4,83.8,Sunny,New Year's Day,0,7.32,77,126,50,150
1/1/2025,Yogurt and pudding,"Dairy, eggs and cheese",R005,44.4,83.8,Sunny,New Year's Day,0,4.64,80,201,50,150
1/1/2025,Eggs,"Dairy, eggs and cheese",R004,44.4,83.8,Sunny,New Year's Day,0,4.85,96,320,50,150
1/1/2025,Strawberry,Fruits - Berries,R005,44.4,83.8,Sunny,New Year's Day,0,4.89,57,317,30,90
1/1/2025,Blueberry,Fruits - Berries,R004,44.4,83.8,Sunny,New Year's Day,0,3.85,58,284,30,90
1/1/2025,Raspberries,Fruits - Berries,R005,44.4,83.8,Sunny,New Year's Day,0,5.37,62,217,30,90
1/1/2025,Pineapple,Fruits - All weather,R002,44.4,83.8,Sunny,New Year's Day,0,1.02,101,209,60,180
1/1/2025,Banana,Fruits - All weather,R002,44.4,83.8,Sunny,New Year's Day,0,1.17,87,285,60,180
1/1/2025,Apples,Fruits - All weather,R003,44.4,83.8,Sunny,New Year's Day,0,0.93,69,183,60,180
1/1/2025,Watermelon,Fruits - Melons,R001,44.4,83.8,Sunny,New Year's Day,0,1.17,33,214,25,75
1/1/2025,Canteloupe,Fruits - Melons,R001,44.4,83.8,Sunny,New Year's Day,0,1.76,39,355,25,75
1/1/2025,Oranges,Fruits - Citrus,R002,44.4,83.8,Sunny,New Year's Day,0,0.78,61,188,50,150
1/1/2025,Lemon,Fruits - Citrus,R001,44.4,83.8,Sunny,New Year's Day,0.19,1.11,85,298,50,150
1/1/2025,Mango,Fruits - Tropical Fruits,R001,44.4,83.8,Sunny,New Year's Day,0,2.94,38,338,35,105
1/1/2025,Kiwi,Fruits - Tropical Fruits,R004,44.4,83.8,Sunny,New Year's Day,0,2.18,36,299,35,105
1/1/2025,Coconut,Fruits - Tropical Fruits,R005,44.4,83.8,Sunny,New Year's Day,0,2.61,43,179,35,105
1/1/2025,Cherries,Fruits - Seasonal,R004,44.4,83.8,Sunny,New Year's Day,0,3.1,42,393,20,60
1/1/2025,Peach,Fruits - Seasonal,R001,44.4,83.8,Sunny,New Year's Day,0,3.45,43,431,20,60
1/1/2025,Onion,Vegetables,R004,44.4,83.8,Sunny,New Year's Day,0,2.19,127,136,60,180
1/1/2025,Tomatoes,Vegetables,R001,44.4,83.8,Sunny,New Year's Day,0,2.61,122,271,60,180
1/1/2025,Carrots,Vegetables,R001,44.4,83.8,Sunny,New Year's Day,0.2,2.03,159,81,60,180
1/1/2025,Cabbage,Vegetables,R004,44.4,83.8,Sunny,New Year's Day,0,1.89,125,357,60,180
1/1/2025,Broccoli & Cauliflower,Vegetables,R004,44.4,83.8,Sunny,New Year's Day,0,1.4,123,227,60,180
1/1/2025,Potatoes & Yams,Vegetables,R004,44.4,83.8,Sunny,New Year's Day,0,1.49,126,259,60,180
1/1/2025,Cucumbers,Vegetables,R001,44.4,83.8,Sunny,New Year's Day,0,0.85,128,367,60,180
1/1/2025,Peppers,Vegetables,R001,44.4,83.8,Sunny,New Year's Day,0.25,2.16,183,115,60,180
1/1/2025,Herbs,Vegetables,R002,44.4,83.8,Sunny,New Year's Day,0,1.72,112,123,60,180
1/1/2025,Lettuce and Greens,Vegetables,R004,44.4,83.8,Sunny,New Year's Day,0,2.7,123,100,60,180
1/1/2025,Corn,Vegetables,R001,44.4,83.8,Sunny,New Year's Day,0,1.31,115,201,60,180
1/1/2025,Beef,Meat,R004,44.4,83.8,Sunny,New Year's Day,0,5.85,80,268,40,120
1/1/2025,Chicken,Meat,R005,44.4,83.8,Sunny,New Year's Day,0,9.66,81,159,40,120
1/1/2025,Turkey,Meat,R002,44.4,83.8,Sunny,New Year's Day,0,10.29,89,230,40,120
1/1/2025,Lamb,Meat,R005,44.4,83.8,Sunny,New Year's Day,0,7.4,88,163,40,120
1/1/2025,Pork,Meat,R003,44.4,83.8,Sunny,New Year's Day,0,14.93,88,306,40,120
1/1/2025,Shrimp,Seafood,R005,44.4,83.8,Sunny,New Year's Day,0.17,8.21,53,289,25,75
1/1/2025,Prawns,Seafood,R001,44.4,83.8,Sunny,New Year's Day,0,12.11,43,389,25,75
1/1/2025,Lobster,Seafood,R001,44.4,83.8,Sunny,New Year's Day,0,23.23,46,340,25,75
1/1/2025,Crabs,Seafood,R001,44.4,83.8,Sunny,New Year's Day,0,18.96,38,245,25,75
1/1/2025,Salmon,Seafood,R005,44.4,83.8,Sunny,New Year's Day,0,14.93,43,346,25,75
1/1/2025,Cod,Seafood,R004,44.4,83.8,Sunny,New Year's Day,0,15,43,338,25,75
1/1/2025,Icecream,Frozen,R003,44.4,83.8,Sunny,New Year's Day,0,5.44,76,231,50,150
1/1/2025,Appetizers,Frozen,R003,44.4,83.8,Sunny,New Year's Day,0,4.17,64,272,50,150
1/1/2025,Fruits and Berries,Frozen,R003,44.4,83.8,Sunny,New Year's Day,0,5.66,80,156,50,150
1/1/2025,Meals and Sides,Frozen,R001,44.4,83.8,Sunny,New Year's Day,0,7.32,73,214,50,150
1/1/2025,Pizza,Frozen,R001,44.4,83.8,Sunny,New Year's Day,0.17,8.71,92,381,50,150
1/1/2025,Juices,Frozen,R003,44.4,83.8,Sunny,New Year's Day,0.09,8.98,79,246,50,150
1/1/2025,Desserts and Dough,Frozen,R003,44.4,83.8,Sunny,New Year's Day,0,4.15,75,208,50,150
1/1/2025,Popsicles,Frozen,R005,44.4,83.8,Sunny,New Year's Day,0,6.13,72,364,50,150
1/2/2025,Cocoa & Hot chocolate,Hot Beverages,R005,48.2,63.9,Cold,,0,9.15,96,94,50,150
1/2/2025,Coffee,Hot Beverages,R005,48.2,63.9,Cold,,0,9.85,77,69,50,150
1/2/2025,Tea,Hot Beverages,R003,48.2,63.9,Cold,,0.21,11.64,117,150,50,150
1/2/2025,Coconut water,Cold Beverages,R001,48.2,63.9,Cold,,0,1.84,50,196,80,240
1/2/2025,Juice and smoothies,Cold Beverages,R002,48.2,63.9,Cold,,0,3.11,48,186,80,240
1/2/2025,Soft drinks,Cold Beverages,R001,48.2,63.9,Cold,,0,3.72,47,142,80,240
1/2/2025,Sports drinks,Cold Beverages,R002,48.2,63.9,Cold,,0,2.69,47,124,80,240
1/2/2025,Water,Hydration,R005,48.2,63.9,Cold,,0,1.54,68,338,100,300
1/2/2025,Sparkling water,Hydration,R003,48.2,63.9,Cold,,0,1.73,58,400,100,300
1/2/2025,"Breakfast, syrup and cereal",Pantry,R003,48.2,63.9,Cold,,0,5.05,77,268,60,180
1/2/2025,Condiments and spice,Pantry,R003,48.2,63.9,Cold,,0,3.34,68,81,60,180
1/2/2025,"Grains, pasta",Pantry,R001,48.2,63.9,Cold,,0,3.87,72,79,60,180
1/2/2025,Soups,Canned Goods,R004,48.2,63.9,Cold,,0,2.71,66,125,70,210
1/2/2025,Vegetables,Canned Goods,R001,48.2,63.9,Cold,,0,1.57,62,193,70,210
1/2/2025,Fruits,Canned Goods,R003,48.2,63.9,Cold,,0.2,2.63,83,165,70,210
1/2/2025,Bagels and Muffins,Bread and Bakery,R004,48.2,63.9,Cold,,0,3.46,54,321,40,120
1/2/2025,Sandwich breads,Bread and Bakery,R004,48.2,63.9,Cold,,0,5.88,68,73,40,120
1/2/2025,Pitas and flatbreads,Bread and Bakery,R001,48.2,63.9,Cold,,0,3.52,70,338,40,120
1/2/2025,Cookies and bakery snacks,Bread and Bakery,R002,48.2,63.9,Cold,,0.23,3.48,75,151,40,120
1/2/2025,Baguettes and french breads,Bread and Bakery,R003,48.2,63.9,Cold,,0,3.95,62,336,40,120
1/2/2025,Butter,"Dairy, eggs and cheese",R002,48.2,63.9,Cold,,0,7.85,87,234,50,150
1/2/2025,Cheese - american,"Dairy, eggs and cheese",R001,48.2,63.9,Cold,,0,5.62,96,119,50,150
1/2/2025,Cheese - cheddar,"Dairy, eggs and cheese",R001,48.2,63.9,Cold,,0,7.83,102,244,50,150
1/2/2025,Cheese - mozerella,"Dairy, eggs and cheese",R002,48.2,63.9,Cold,,0,6.36,105,147,50,150
