ds,product,category,retailer_id,temperature_f,humidity_pct,weather_condition,holiday,discount_pct,unit_price,sales_volume,stock_quantity,reorder_level,reorder_quantity
2024-01-01,Cocoa & Hot chocolate,Hot Beverages,R005,52.3,79.5,Snow,New Year's Day,0.0,10.69,108,282,50,150
2024-01-01,Coffee,Hot Beverages,R004,52.3,79.5,Snow,New Year's Day,0.0,11.71,103,114,50,150
2024-01-01,Tea,Hot Beverages,R003,52.3,79.5,Snow,New Year's Day,0.0,6.45,106,123,50,150
2024-01-01,Coconut water,Cold Beverages,R004,52.3,79.5,Snow,New Year's Day,0.0,3.99,69,361,80,240
2024-01-01,Juice and smoothies,Cold Beverages,R004,52.3,79.5,Snow,New Year's Day,0.0,1.98,59,301,80,240
2024-01-01,Soft drinks,Cold Beverages,R002,52.3,79.5,Snow,New Year's Day,0.0,3.17,52,372,80,240
2024-01-01,Sports drinks,Cold Beverages,R002,52.3,79.5,Snow,New Year's Day,0.0,1.72,61,368,80,240
2024-01-01,Water,Hydration,R002,52.3,79.5,Snow,New Year's Day,0.0,2.13,78,167,100,300
2024-01-01,Sparkling water,Hydration,R003,52.3,79.5,Snow,New Year's Day,0.0,1.22,80,139,100,300
2024-01-01,"Breakfast, syrup and cereal",Pantry,R002,52.3,79.5,Snow,New Year's Day,0.0,5.52,91,150,60,180
2024-01-01,Condiments and spice,Pantry,R002,52.3,79.5,Snow,New Year's Day,0.0,5.61,109,258,60,180
2024-01-01,"Grains, pasta",Pantry,R003,52.3,79.5,Snow,New Year's Day,0.0,5.82,103,306,60,180
2024-01-01,Soups,Canned Goods,R005,52.3,79.5,Snow,New Year's Day,0.0,1.82,82,310,70,210
2024-01-01,Vegetables,Canned Goods,R002,52.3,79.5,Snow,New Year's Day,0.0,2.71,77,398,70,210
2024-01-01,Fruits,Canned Goods,R004,52.3,79.5,Snow,New Year's Day,0.0,2.96,92,362,70,210
2024-01-01,Bagels and Muffins,Bread and Bakery,R005,52.3,79.5,Snow,New Year's Day,0.09,2.89,119,376,40,120
2024-01-01,Sandwich breads,Bread and Bakery,R004,52.3,79.5,Snow,New Year's Day,0.0,4.3,109,359,40,120
2024-01-01,Pitas and flatbreads,Bread and Bakery,R004,52.3,79.5,Snow,New Year's Day,0.0,5.84,106,303,40,120
2024-01-01,Cookies and bakery snacks,Bread and Bakery,R002,52.3,79.5,Snow,New Year's Day,0.0,5.08,98,304,40,120
2024-01-01,Baguettes and french breads,Bread and Bakery,R002,52.3,79.5,Snow,New Year's Day,0.0,4.04,114,199,40,120
2024-01-01,Butter,"Dairy, eggs and cheese",R002,52.3,79.5,Snow,New Year's Day,0.0,3.82,114,230,50,150
